nplv,t вып-обр,t обработка,t под током,t продувка,ПСН гр.,чист расход C,чист расход Cr,чист расход Mn,чист расход Si,чист расход V,температура первая,температура последняя,Ar (интенс.),эл. энергия (интенс.),произв жидкая сталь,произв количество обработок,расход газ Ar,сыпуч известь РП,сыпуч кокс пыль УСТК,сыпуч  кокс. мелочь КМ1,сыпуч  шпат плав.,ферспл CaC2,ферспл  FeV-80,ферспл  Mn5Si65Al0.5,ферспл SiMn18,ферспл  фх850А,эл. энергия,химсталь первый Al_1,химсталь первый C_1,химсталь первый Cr_1,химсталь первый Cu_1,химсталь первый Mn_1,химсталь первый Mo_1,химсталь первый N_1,химсталь первый Ni_1,химсталь первый P_1,химсталь первый S_1,химсталь первый Si_1,химсталь первый Ti_1,химсталь первый V_1,химсталь последний Al,химсталь последний C,химсталь последний Ca,химсталь последний Cr,химсталь последний Cu,химсталь последний Mn,химсталь последний Mo,химсталь последний N,химсталь последний Ni,химсталь последний P,химсталь последний S,химсталь последний Si,химсталь последний Ti,химсталь последний V,химшлак первый Al2O3_1,химшлак первый CaO_1,химшлак первый FeO_1,химшлак первый MgO_1,химшлак первый MnO_1,химшлак первый R_1,химшлак первый SiO2_1,химшлак последний Al2O3,химшлак последний CaO,химшлак последний FeO,химшлак последний MgO,химшлак последний MnO,химшлак последний R,химшлак последний SiO2
г683863?<69,19.0,42.7,20.1833333,42.7,1.0,0.343075,0.127125,0.0963855,0.08043,0.0408155,1572.0,1574.0,13.3749415,10615.6895128,115.1000001,1.0,19.037,,0.05,0.353,0.069,0.0200001,0.050962,0.0809999999999999,0.151,0.2249999999999999,3571.0,0.002,0.442,0.31,0.095,0.697,0.006,0.011,0.064,0.009,0.017,0.484,0.002,0.002,0.004,0.789,0.0002,0.414,0.095,0.78,0.005,0.012,0.064,0.009,0.012,0.57,0.004,0.037,3.9,45.6,0.6,8.0,0.18,2.6,17.7,5.1,64.0,0.2,6.1,0.05,2.8,22.0
г683863?<6:,22.0,43.2166667,20.65,43.2166667,2.0,0.353405,0.125995,0.121126,0.094626,0.0395701,1557.0,1575.0,17.7231839,12072.6392252,113.9,1.0,25.482,,0.05,0.365,0.094,0.02,0.049407,0.092,0.19,0.223,4155.0,0.002,0.483,0.311,0.099,0.68,0.006,0.011,0.061,0.009,0.017,0.477,0.002,0.002,0.003,0.763,0.0002,0.416,0.098,0.789,0.005,0.012,0.061,0.009,0.012,0.576,0.004,0.037,3.5,65.0,0.4,7.6,0.1,3.1,20.8,4.6,63.2,0.4,5.8,0.06,2.7,21.8
г683863?<6;,22.0,41.0,19.3,41.0,2.0,0.41312,0.12769,0.1573305,0.117312,0.0397439,1567.0,1573.0,9.0007317,12077.7202073,115.0,1.0,12.301,,0.05,0.437,0.08,0.02,0.049624,0.111,0.247,0.226,3885.0,0.002,0.409,0.312,0.098,0.648,0.006,0.012,0.065,0.008,0.019,0.462,0.002,0.002,0.003,0.797,0.0002,0.42,0.099,0.79,0.006,0.013,0.065,0.008,0.012,0.578,0.004,0.036,3.4,52.2,0.7,5.5,0.15,2.9,17.9,4.0,53.5,0.3,3.5,0.06,2.8,18.1
г683863?<6=,18.0,44.05,15.8666667,44.05,1.4923497,0.19497,0.13108,0.0564065,0.083688,0.039309,1592.0,1578.0,17.1064699,10743.2773109,113.8,1.0,25.118,,0.05,0.171,0.081,0.02,0.049081,0.103,0.087,0.232,2841.0,0.003,0.588,0.31,0.083,0.736,0.006,0.01,0.065,0.011,0.013,0.493,0.003,0.003,0.004,0.739,0.0004,0.417,0.081,0.779,0.005,0.011,0.066,0.011,0.01,0.562,0.003,0.036,4.1,65.2,0.3,8.4,0.09,3.1,20.9,4.0,63.1,0.7,6.2,0.1,2.8,21.5
г683863?<6>,20.0,42.0333333,14.7166667,42.0333333,1.296063,0.38029,0.16159,0.162314,0.143082,0.039715,1601.0,1576.0,13.6513085,10714.382786,115.9,1.0,19.127,0.054,0.05,0.39,0.048,0.02,0.049588,0.148,0.254,0.286,2628.0,0.002,0.448,0.285,0.088,0.645,0.006,0.011,0.061,0.008,0.016,0.447,0.001,0.002,0.003,0.754,0.0001,0.415,0.088,0.786,0.005,0.011,0.061,0.009,0.011,0.564,0.003,0.036,5.0,58.2,0.6,14.4,0.15,2.6,22.1,4.4,58.1,0.5,10.4,0.09,2.2,26.3
г683863?<6?,21.0,41.7,18.7166667,41.7,2.0,0.376615,0.144075,0.1290115,0.110673,0.0400042,1566.0,1574.0,14.3280576,11556.5449688,115.2,1.0,19.916,,0.05,0.39,0.083,0.02,0.049949,0.113,0.202,0.255,3605.0,0.002,0.439,0.3,0.085,0.672,0.007,0.01,0.064,0.008,0.015,0.466,0.002,0.002,0.003,0.761,0.0001,0.417,0.084,0.781,0.006,0.012,0.064,0.008,0.011,0.574,0.003,0.036,3.9,61.1,0.8,7.6,0.11,2.5,24.2,4.3,64.0,0.6,4.3,0.06,2.8,21.7
г683863?<76,18.0,43.5333333,20.9833333,43.5333333,2.0,0.41326,0.14351,0.138436,0.139008,0.03986,1597.0,1601.0,12.7912694,11835.107228,115.3,1.0,18.558,0.08,0.05,0.435,0.081,0.02,0.049769,0.152,0.216,0.254,4139.0,0.002,0.431,0.301,0.084,0.671,0.005,0.009,0.059,0.009,0.014,0.452,0.002,0.002,0.003,0.758,0.0002,0.415,0.084,0.781,0.004,0.011,0.059,0.009,0.01,0.554,0.003,0.036,4.4,63.2,0.4,10.0,0.11,3.0,20.9,4.8,58.8,0.7,12.7,0.13,2.8,21.2
г683863?<77,18.0,43.85,20.5166667,43.85,2.0,0.37903,0.1356,0.117377,0.09489,0.039715,1564.0,1580.0,18.0759407,12089.6831844,112.5,1.0,26.421,,0.05,0.395,0.075,0.02,0.049588,0.094,0.184,0.24,4134.0,0.002,0.443,0.305,0.102,0.68,0.006,0.01,0.064,0.008,0.017,0.476,0.002,0.002,0.003,0.77,0.0001,0.418,0.103,0.784,0.005,0.012,0.065,0.009,0.012,0.573,0.004,0.037,3.5,56.3,0.2,8.6,0.08,2.8,19.8,4.5,64.6,0.3,5.4,0.05,2.8,22.1
г683863?<78,14.0,42.5333333,13.3333333,42.5333333,1.4876126,0.387585,0.157635,0.180904,0.135132,0.039715,1606.0,1575.0,19.2865204,11628.0,114.6,1.0,27.344,0.053,0.05,0.399,0.047,0.02,0.049588,0.128,0.284,0.279,2584.0,0.002,0.431,0.287,0.096,0.627,0.005,0.012,0.06,0.007,0.016,0.454,0.002,0.002,0.003,0.762,0.0001,0.416,0.096,0.783,0.004,0.012,0.06,0.008,0.012,0.576,0.003,0.036,3.7,55.2,0.4,6.4,0.09,3.1,18.0,6.0,60.6,0.5,7.2,0.07,2.8,21.7
г683863?<79,15.0,41.3666667,18.35,41.3666667,2.0,0.37331,0.14464,0.0989575,0.110133,0.0401779,1570.0,1575.0,14.8706688,12006.5395095,116.2,1.0,20.505,0.081,0.05,0.387,0.081,0.02,0.050166,0.125,0.154,0.256,3672.0,0.002,0.456,0.302,0.104,0.707,0.005,0.009,0.061,0.013,0.019,0.468,0.002,0.003,0.004,0.796,0.0002,0.418,0.105,0.791,0.005,0.011,0.061,0.014,0.015,0.567,0.004,0.037,4.0,62.9,0.2,7.9,0.08,2.7,23.0,4.9,62.0,0.6,5.0,0.06,2.8,21.5
г683863?<7:,5.0,44.7166667,17.4833333,44.7166667,1.324295,0.34986,0.14125,0.140821,0.0804,0.039715,1596.0,1573.0,19.6436824,11386.8446139,114.3,1.0,29.28,,0.05,0.357,0.083,0.02,0.049588,0.062,0.222,0.25,3318.0,0.002,0.469,0.304,0.1,0.659,0.005,0.008,0.063,0.009,0.016,0.491,0.002,0.002,0.004,0.8,0.0003,0.418,0.1,0.78,0.004,0.01,0.064,0.01,0.012,0.576,0.004,0.036,3.9,62.7,0.3,6.9,0.08,2.8,22.6,4.8,59.4,0.6,12.6,0.14,2.7,22.2
г683863?<7;,11.0,44.0166667,27.7166667,44.0166667,2.3995772,0.319855,0.145205,0.0961275,0.096165,0.0389037,1581.0,1642.0,17.4724725,12657.3662057,112.6,1.0,25.636,0.161,0.05,0.321,0.081,0.02,0.048575,0.105,0.15,0.257,5847.0,0.002,0.471,0.297,0.105,0.7,0.005,0.009,0.058,0.01,0.016,0.482,0.002,0.003,0.004,0.762,0.0003,0.417,0.103,0.782,0.004,0.01,0.058,0.011,0.01,0.539,0.003,0.037,3.8,54.8,0.4,8.3,0.12,3.0,18.1,5.9,61.4,0.8,6.8,0.08,2.8,22.0
г683863?<7<,9.0,45.2,22.15,45.2,2.3051559,0.33377,0.14577,0.14804,0.067938,0.0391936,1587.0,1603.0,19.804646,11991.8735892,113.1,1.0,29.839,0.052,0.05,0.336,0.076,0.02,0.048937,0.04,0.234,0.258,4427.0,0.002,0.467,0.297,0.112,0.66,0.006,0.01,0.064,0.008,0.015,0.502,0.002,0.002,0.004,0.767,0.0003,0.418,0.112,0.786,0.005,0.011,0.064,0.009,0.011,0.573,0.004,0.037,4.3,61.2,0.5,9.3,0.1,2.9,20.8,5.5,58.9,0.5,7.5,0.08,2.7,21.9
г683863?<7=,10.0,45.7,17.6166667,45.7,,0.343195,0.121475,0.1018595,0.10041,0.0396213,1613.0,1599.0,19.7592998,11416.461684,114.5000001,1.0,30.1,,0.05,0.354,0.075,0.02,0.049552,0.109,0.159,0.215,3352.0,0.003,0.471,0.32,0.1,0.703,0.006,0.007,0.065,0.012,0.015,0.479,0.002,0.003,0.004,0.803,0.0002,0.416,0.099,0.781,0.005,0.01,0.065,0.013,0.011,0.561,0.003,0.037,4.5,62.1,0.8,9.1,0.08,3.0,20.9,3.5,60.4,0.6,8.8,0.12,2.3,26.4
г683863?<7>,16.0,57.85,25.7166667,57.85,3.5372928,0.34772,0.11978,0.099107,0.089757,0.039359,1550.0,1590.0,9.7907273,12505.5087492,115.3,1.0,18.771,,0.05,0.36,0.045,0.02,0.049986,0.094,0.155,0.212,5360.0,0.002,0.469,0.319,0.097,0.706,0.006,0.008,0.062,0.01,0.016,0.479,0.002,0.003,0.003,0.762,0.0001,0.414,0.097,0.788,0.006,0.011,0.062,0.011,0.011,0.565,0.003,0.037,4.2,64.8,0.7,8.4,0.08,3.0,21.7,3.7,58.9,0.6,9.4,0.14,2.3,25.6
г683863?<7?,26.0,48.05,25.1833333,48.05,3.182783,0.39695,0.15594,0.177351,0.117009,0.039444,1555.0,1585.0,10.1776928,12787.028458,116.8,1.0,16.273,,0.05,0.411,0.047,0.02,0.050094,0.102,0.279,0.276,5367.0,0.003,0.434,0.293,0.104,0.64,0.005,0.009,0.058,0.008,0.018,0.467,0.002,0.003,0.003,0.766,0.0002,0.417,0.106,0.785,0.005,0.011,0.059,0.009,0.014,0.562,0.003,0.036,4.2,64.4,0.4,8.8,0.1,3.0,21.3,3.9,60.6,0.7,8.2,0.11,2.4,25.8
г683863?<86,36.0,43.85,22.3833333,43.85,3.6592544,0.42397,0.14803,0.1221745,0.112704,0.0400991,1557.0,1585.0,12.2072976,12612.0625465,116.1,1.0,17.843,,0.05,0.448,0.046,0.02,0.050926,0.119,0.191,0.262,4705.0,0.002,0.396,0.299,0.101,0.682,0.009,0.006,0.064,0.011,0.018,0.459,0.002,0.003,0.003,0.786,0.0002,0.417,0.099,0.784,0.008,0.01,0.064,0.012,0.014,0.575,0.004,0.038,4.0,52.3,0.8,8.0,0.15,2.7,19.5,4.5,52.6,0.5,5.7,0.05,2.7,19.5
г683863?<87,43.0,42.5166667,20.0,42.5166667,3.5724868,0.38041,0.1356,0.1605525,0.094506,0.0380204,1545.0,1577.0,11.6925911,13449.0,112.9,1.0,16.571,,0.05,0.395,0.055,0.02,0.048286,0.075,0.253,0.24,4483.0,0.002,0.439,0.307,0.109,0.65,0.006,0.007,0.06,0.007,0.018,0.481,0.002,0.002,0.005,0.756,0.0001,0.416,0.106,0.784,0.005,0.013,0.06,0.008,0.013,0.581,0.004,0.036,4.1,51.3,0.7,5.8,0.1,2.7,18.9,4.9,52.8,0.7,3.5,0.07,2.8,18.6
г683863?<88,46.0,43.3666667,22.2,43.3666667,3.8266533,0.392075,0.115825,0.162861,0.112938,0.0392165,1525.0,1570.0,12.7224443,13627.027027,114.0,1.0,18.391,,0.05,0.413,0.049,0.02,0.049805,0.102,0.256,0.205,5042.0,0.002,0.428,0.32,0.116,0.636,0.009,0.011,0.071,0.008,0.02,0.459,0.001,0.003,0.003,0.764,0.0002,0.412,0.114,0.772,0.008,0.012,0.071,0.008,0.015,0.57,0.003,0.037,4.0,47.7,0.8,7.0,0.13,2.6,18.2,6.1,51.9,0.5,5.1,0.05,2.5,21.1
г683863?<89,45.0,47.5333333,21.0166667,47.5333333,3.3419936,0.46975,0.11865,0.1735975,0.170622,0.0394724,1555.0,1570.0,13.2193922,14103.0927835,115.8,1.0,20.905,0.075,0.05,0.508,0.043,0.02,0.05013,0.185,0.271,0.21,4940.0,0.002,0.401,0.314,0.121,0.642,0.009,0.012,0.08,0.009,0.022,0.42,0.001,0.003,0.004,0.756,0.0003,0.418,0.116,0.791,0.007,0.014,0.074,0.01,0.014,0.588,0.003,0.037,4.6,45.2,0.3,11.8,0.25,2.1,21.6,5.6,59.0,0.6,8.0,0.07,2.5,23.6
г683863?<8;,10.0,41.3666667,22.6833333,41.3666667,3.464301,0.36715,0.12317,0.1339275,0.106785,0.0390456,1558.0,1579.0,12.1022204,12490.2277737,114.8,1.0,16.654,,0.05,0.382,0.044,0.02,0.049588,0.105,0.21,0.218,4722.0,0.002,0.455,0.316,0.108,0.664,0.01,0.011,0.078,0.008,0.019,0.473,0.002,0.003,0.003,0.742,0.0001,0.415,0.108,0.781,0.009,0.013,0.078,0.008,0.014,0.563,0.003,0.037,4.4,57.1,0.5,11.6,0.11,2.6,22.3,5.4,59.1,0.9,7.0,0.07,2.5,23.2
г683863?<8<,4.0,44.3833333,22.5333333,44.3833333,2.9619787,0.362155,0.122605,0.157697,0.106218,0.0384755,1571.0,1581.0,13.1042456,11947.6331361,113.5,1.0,19.205,,0.05,0.375,0.044,0.02,0.048864,0.094,0.248,0.217,4487.0,0.001,0.45,0.317,0.123,0.646,0.006,0.012,0.067,0.008,0.021,0.476,0.002,0.002,0.003,0.761,0.0002,0.419,0.124,0.792,0.005,0.013,0.067,0.009,0.016,0.578,0.003,0.036,3.5,46.3,0.9,5.8,0.11,2.9,15.7,4.2,54.6,1.0,5.9,0.09,2.1,26.5
г683863?<8=,9.0,45.5333333,21.55,45.5333333,3.1460815,0.39014,0.11526,0.130411,0.116994,0.0390739,1578.0,1578.0,11.3338504,12022.2737819,114.4,1.0,17.048,0.064,0.05,0.412,0.038,0.02,0.049624,0.122,0.204,0.204,4318.0,0.002,0.456,0.325,0.108,0.675,0.008,0.01,0.083,0.01,0.02,0.473,0.002,0.002,0.003,0.754,0.0002,0.417,0.109,0.79,0.006,0.014,0.083,0.01,0.015,0.571,0.003,0.036,4.6,52.2,0.7,7.0,0.15,2.7,19.1,5.0,55.0,0.8,4.7,0.08,2.7,20.1
г683863?<8>,11.0,44.8833333,21.55,44.8833333,2.9682986,0.199155,0.122605,0.126631,0.115932,0.0390739,1558.0,1572.0,10.8524503,12222.737819,114.6,1.0,15.932,0.053,0.05,0.175,0.044,0.02,0.049624,0.122,0.198,0.217,4390.0,0.002,0.594,0.318,0.109,0.673,0.007,0.01,0.069,0.008,0.02,0.461,0.002,0.003,0.003,0.775,0.0002,0.418,0.107,0.782,0.006,0.012,0.069,0.008,0.016,0.573,0.003,0.037,4.3,50.6,0.5,8.1,0.08,2.5,20.0,5.8,53.6,0.5,4.7,0.06,2.6,20.4
г683863?<8?,7.0,43.1833333,16.5666667,43.1833333,2.833795,0.30359,0.11865,0.0933705,0.138861,0.0393298,1585.0,1581.0,11.4905442,11777.8672032,116.6,1.0,16.54,,0.05,0.306,0.049,0.02,0.049949,0.171,0.144,0.21,3252.0,0.002,0.536,0.32,0.112,0.701,0.007,0.009,0.066,0.01,0.02,0.448,0.002,0.003,0.003,0.764,0.0002,0.414,0.11,0.779,0.006,0.01,0.066,0.01,0.018,0.565,0.003,0.036,5.3,51.2,1.0,8.2,0.09,2.8,18.6,6.0,58.8,0.7,5.9,0.09,2.3,25.7
г683863?<96,16.0,43.3666667,23.5333333,43.3666667,3.5474934,0.2570937,0.101135,0.0929955,0.070893,0.0380204,1528.0,1579.0,11.9953882,12202.266289,111.8,1.0,17.34,,0.05,0.227,,0.02,0.048286,0.068,0.146,0.179,4786.0,0.002,0.546,0.328,0.111,0.697,0.007,0.011,0.072,0.008,0.017,0.488,0.003,0.003,0.005,0.785,0.0007,0.412,0.112,0.777,0.006,0.012,0.072,0.008,0.015,0.547,0.004,0.037,4.8,55.5,0.5,10.7,0.12,2.4,23.4,4.9,59.7,0.9,6.1,0.08,2.6,23.3
г683863?<97,15.0,40.0166667,17.3333333,40.0166667,1.4867942,0.2905125,0.11187,0.093108,0.087882,0.0387606,1581.0,1572.0,12.9598501,10917.6923077,113.9,1.0,17.287,,0.05,0.274,0.059,0.02,0.049226,0.094,0.146,0.198,3154.0,0.002,0.535,0.324,0.105,0.696,0.006,0.01,0.066,0.009,0.017,0.489,0.002,0.003,0.003,0.769,0.0001,0.414,0.103,0.777,0.006,0.011,0.066,0.009,0.015,0.565,0.003,0.037,4.4,59.2,0.6,8.5,0.09,2.5,23.4,4.3,58.6,0.5,7.8,0.12,2.2,26.4
г683863?<98,13.0,41.3833333,19.6666667,41.3833333,,0.2992467,0.119215,0.078636,0.119274,0.0389314,1579.0,1577.0,11.3128329,10772.5423729,114.8,1.0,15.574,,0.05,0.274,0.071,0.02,0.049443,0.148,0.122,0.211,3531.0,0.002,0.51,0.308,0.101,0.709,0.006,0.009,0.068,0.012,0.02,0.446,0.002,0.003,0.003,0.769,0.0002,0.412,0.099,0.781,0.005,0.011,0.067,0.012,0.017,0.568,0.003,0.038,4.5,51.0,0.6,6.2,0.13,2.6,19.9,5.1,59.3,0.3,5.1,0.07,2.3,25.6
г683863?<99,27.0,39.85,22.7333333,39.85,1.0,0.383845,0.165545,0.188826,0.146949,0.0391881,1558.0,1571.0,19.9129235,11195.8944282,115.6,1.0,26.451,,0.134,0.32,,0.02,0.049769,0.143,0.297,0.293,4242.0,0.002,0.449,0.276,0.119,0.615,0.006,0.01,0.066,0.007,0.018,0.412,0.002,0.003,0.003,0.776,0.0001,0.416,0.118,0.78,0.005,0.011,0.066,0.007,0.015,0.57,0.004,0.037,4.1,52.0,0.7,6.0,0.11,2.5,21.0,5.9,60.0,0.4,4.5,0.05,2.7,22.1
г683863?<9:,12.0,41.5333333,16.8333333,41.5333333,2.0,0.2622617,0.09718,0.063678,0.089463,0.038248,1584.0,1590.0,16.1833868,11020.990099,112.7,1.0,22.405,,0.05,0.233,0.07,0.02,0.048575,0.109,0.099,0.172,3092.0,0.002,0.53,0.334,0.117,0.72,0.005,0.008,0.067,0.013,0.019,0.471,0.002,0.004,0.003,0.771,0.0002,0.415,0.114,0.775,0.005,0.009,0.067,0.013,0.015,0.555,0.003,0.037,5.0,55.3,0.6,15.4,0.16,2.5,22.1,5.5,55.7,0.5,10.6,0.08,2.5,22.2
г683863?<9;,13.0,45.8833333,36.1666667,45.8833333,3.9676275,0.34763,0.14125,0.146916,0.082644,0.0380771,1536.0,1620.0,11.910262,13177.3271889,112.3,1.0,18.183,,0.05,0.354,0.059,0.02,0.048358,0.063,0.232,0.25,7943.0,0.002,0.502,0.292,0.088,0.648,0.005,0.009,0.056,0.007,0.017,0.458,0.002,0.003,0.004,0.766,0.0001,0.415,0.087,0.786,0.004,0.009,0.057,0.008,0.012,0.583,0.004,0.037,3.3,62.2,0.2,8.8,0.11,2.7,23.2,4.2,64.2,0.5,3.1,0.06,2.8,22.5
г683863?<9<,16.0,40.7,21.45,40.7,2.7666667,0.3499372,0.11865,0.131646,0.104619,0.0389314,1571.0,1594.0,12.7106145,11745.4545455,114.3,1.0,17.064,,0.05,0.338,0.059,0.02,0.049443,0.103,0.207,0.21,4199.0,0.002,0.503,0.319,0.111,0.67,0.006,0.009,0.067,0.009,0.019,0.472,0.002,0.004,0.004,0.782,0.0004,0.415,0.109,0.779,0.005,0.011,0.067,0.01,0.015,0.561,0.003,0.038,3.5,53.1,0.5,6.7,0.12,2.6,20.8,4.4,58.4,0.5,5.3,0.06,2.5,23.3
г683863?<9=,19.0,53.55,23.7666667,53.3833333,1.6110568,0.3177404,0.14012,0.126246,0.083403,0.039444,1567.0,1587.0,8.0435217,11072.6507714,115.8,1.0,14.313,,0.05,0.289,0.072,0.02,0.050094,0.073,0.199,0.248,4386.0,0.002,0.533,0.3,0.095,0.669,0.006,0.009,0.065,0.008,0.017,0.472,0.002,0.003,0.003,0.79,0.0001,0.414,0.095,0.772,0.005,0.009,0.065,0.009,0.014,0.547,0.003,0.038,3.7,50.1,0.6,4.5,0.09,2.9,17.3,4.6,62.8,0.2,3.7,0.05,2.5,25.3
г683863?<9>,23.0,41.2166667,20.05,41.2166667,1.6291161,0.269125,0.124865,0.099768,0.109452,0.0394827,1564.0,1587.0,8.6692371,11293.765586,116.4,1.0,11.742,,0.05,0.262,0.07,0.02,0.049732,0.124,0.156,0.221,3774.0,0.002,0.558,0.313,0.101,0.697,0.005,0.009,0.074,0.011,0.017,0.465,0.002,0.003,0.004,0.788,0.0004,0.415,0.102,0.783,0.005,0.01,0.074,0.012,0.015,0.581,0.003,0.038,5.7,60.1,0.3,5.0,0.05,2.7,22.0,4.2,62.5,0.2,3.7,0.05,2.6,24.4
г683863?<9?,27.0,47.3333333,26.3,47.3333333,1.8600858,0.3878051,0.166675,0.18666,0.131238,0.0394648,1551.0,1570.0,8.6814894,11466.1596958,115.9,1.0,13.601,0.043,0.05,0.373,0.06,0.02,0.04966,0.12,0.294,0.295,5026.0,0.002,0.48,0.282,0.09,0.624,0.007,0.008,0.063,0.007,0.018,0.439,0.002,0.003,0.003,0.78,0.0003,0.414,0.088,0.772,0.006,0.01,0.063,0.007,0.017,0.569,0.004,0.037,4.2,50.1,0.9,8.0,0.12,2.3,21.6,4.3,58.4,1.0,5.6,0.09,2.2,26.8
г683863?<:6,33.0,44.7333333,27.2166667,44.7333333,3.8465499,0.3061803,0.125995,0.090332,0.060597,0.0379986,1519.0,1592.0,17.9148286,12832.5780772,110.8,1.0,26.713,,0.05,0.269,0.127,0.03,0.047815,0.054,0.141,0.223,5821.0,0.002,0.51,0.304,0.103,0.696,0.007,0.009,0.066,0.007,0.017,0.477,0.002,0.003,0.003,0.783,0.0001,0.412,0.105,0.773,0.006,0.009,0.067,0.008,0.013,0.555,0.004,0.038,4.3,51.1,0.3,6.1,0.1,2.5,20.5,5.0,63.4,0.4,3.8,0.06,2.8,22.8
г683863?<:7,38.0,47.1833333,22.95,47.1833333,2.3004612,0.3662757,0.13108,0.133455,0.124419,0.039321,1567.0,1574.0,13.9461095,11537.254902,116.2,1.0,21.508,,0.05,0.357,0.095,0.02,0.049479,0.133,0.207,0.232,4413.0,0.002,0.492,0.31,0.094,0.668,0.006,0.01,0.066,0.008,0.017,0.447,0.002,0.003,0.003,0.795,,0.418,0.096,0.78,0.006,0.01,0.068,0.009,0.013,0.573,0.004,0.037,3.3,44.1,0.8,6.2,0.1,2.3,19.5,5.5,59.5,0.2,5.5,0.05,2.6,23.3
г683863?<:8,43.0,42.05,18.9666667,40.2166667,2.7140931,0.32162,0.15707,0.147818,0.11265,0.0390047,1549.0,1575.0,17.4934936,12115.9929701,114.4,1.0,23.451,,0.05,0.319,0.059,0.02,0.049081,0.109,0.23,0.278,3830.0,0.002,0.467,0.283,0.099,0.649,0.005,0.009,0.062,0.008,0.018,0.444,0.002,0.003,0.004,0.755,0.0003,0.414,0.099,0.776,0.004,0.009,0.062,0.009,0.014,0.562,0.004,0.037,3.9,49.8,0.4,7.7,0.16,2.3,21.4,3.7,58.7,0.6,9.4,0.12,2.4,25.0
г683863?<:9,29.0,45.5166667,22.5333333,45.5166667,4.6101399,0.2950114,0.14916,0.111208,0.120864,0.0398963,1557.0,1567.0,20.9066276,12557.3964497,116.9,1.0,31.72,0.063,0.05,0.244,0.082,0.02,0.050203,0.137,0.172,0.264,4716.0,0.002,0.523,0.287,0.095,0.68,0.007,0.007,0.067,0.008,0.015,0.446,0.002,0.03,0.003,0.753,,0.414,0.094,0.779,0.006,0.01,0.067,0.008,0.01,0.561,0.003,0.037,4.1,58.3,0.3,9.2,0.07,2.7,21.7,3.9,62.8,0.5,3.4,0.07,2.4,26.1
г683863?<::,31.0,43.2666667,19.1166667,42.2,4.1020942,0.3202733,0.166675,0.157817,0.139725,0.0407586,1549.0,1571.0,15.1009357,13690.6713165,117.0,1.0,21.07,0.084,0.05,0.274,0.071,0.02,0.051288,0.146,0.245,0.295,4362.0,0.002,0.514,0.275,0.099,0.656,0.007,0.008,0.073,0.007,0.015,0.437,0.002,0.039,0.003,0.774,0.0004,0.418,0.098,0.789,0.006,0.012,0.069,0.008,0.011,0.559,0.003,0.038,4.2,60.1,0.3,8.2,0.1,2.5,24.0,4.7,55.6,0.6,7.4,0.1,2.5,22.1
г683863?<:<,7.0,46.3833333,23.1666667,46.3833333,3.7665076,0.30606,0.13108,0.111978,0.093498,0.0382863,1554.0,1580.0,9.0097897,12377.2661871,110.6,1.0,13.805,0.127,0.05,0.306,0.084,0.02,0.048177,0.095,0.174,0.232,4779.0,0.002,0.534,0.303,0.102,0.693,0.007,0.008,0.07,0.009,0.018,0.476,0.002,0.035,0.003,0.772,0.0007,0.415,0.099,0.789,0.007,0.009,0.07,0.009,0.014,0.562,0.003,0.036,3.6,48.9,0.6,17.5,0.16,2.2,22.7,3.6,45.8,0.6,12.1,0.09,2.4,19.0
г683863?<:=,8.0,44.2166667,21.8,44.2166667,3.721144,0.333255,0.161025,0.189536,0.106512,0.0390913,1564.0,1578.0,12.0098361,12765.1376147,114.4,1.0,17.501,0.078,0.05,0.331,0.059,0.02,0.04919,0.082,0.296,0.285,4638.0,0.002,0.511,0.277,0.106,0.627,0.008,0.01,0.072,0.007,0.019,0.449,0.001,0.035,0.003,0.755,0.0003,0.42,0.104,0.796,0.006,0.012,0.069,0.007,0.011,0.556,0.003,0.036,3.7,59.0,0.3,13.7,0.1,2.6,23.1,4.8,55.2,0.2,9.0,0.08,2.5,21.9
г683863?<:>,10.0,41.05,19.2166667,41.05,4.0,0.37816,0.15933,0.183658,0.131802,0.0396945,1581.0,1581.0,12.3395808,12779.5316565,115.9,1.0,16.679,0.086,0.05,0.387,0.058,0.02,0.049949,0.123,0.286,0.282,4093.0,0.001,0.483,0.286,0.106,0.637,0.007,0.01,0.069,0.007,0.018,0.446,0.001,0.035,0.003,0.764,0.0005,0.415,0.103,0.789,0.007,0.012,0.068,0.008,0.015,0.567,0.003,0.036,4.2,55.5,0.7,16.3,0.08,2.4,22.9,4.4,50.0,0.8,14.1,0.08,2.3,21.4
г683863?<:?,7.0,46.7166667,20.6666667,46.7166667,3.3343023,0.3451,0.1582,0.142133,0.113697,0.0396945,1578.0,1581.0,14.092891,12454.8387097,116.1,1.0,21.476,,0.05,0.348,0.06,0.02,0.049949,0.113,0.221,0.28,4290.0,0.002,0.509,0.287,0.099,0.669,0.006,0.009,0.061,0.009,0.018,0.46,0.002,0.035,0.004,0.752,0.0005,0.417,0.098,0.797,0.006,0.013,0.062,0.009,0.015,0.57,0.003,0.036,3.4,59.8,0.2,6.4,0.07,2.6,23.1,5.3,60.5,0.5,5.1,0.07,2.7,22.5
